Name	C_inv	C_maint	C_op
NUCLEAR	905.917314	757.798505	0.000000
CCGT	1016.652492	538.363262	0.000000
COAL_US	201.239082	64.307332	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	794.477746	204.630615	0.000000
PT_POWER_BLOCK	112.046351	139.239625	0.000000
ST_POWER_BLOCK	1.890851	3.213000	0.000000
STIRLING_DISH	0.638953	0.241155	0.000000
WIND_ONSHORE	1647.009777	109.915370	0.000000
WIND_OFFSHORE	0.000000	0.000000	0.000000
HYDRO_DAM	2283.253925	341.499769	0.000000
HYDRO_RIVER	196.826421	58.877151	0.000000
NEW_TIDAL_STREAM	0.000000	0.000000	0.000000
TIDAL_STREAM	0.000000	0.000000	0.000000
TIDAL_RANGE	0.000000	0.000000	0.000000
WAVE	0.033024	0.012474	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	354.752441	483.458740	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	135.143794	106.464412	0.000000
IND_BOILER_GAS	19.670332	5.875026	0.000000
IND_BOILER_WOOD	8.992207	2.681053	0.000000
IND_BOILER_OIL	0.000000	0.000000	0.000000
IND_BOILER_COAL	8.092986	2.412948	0.000000
IND_BOILER_WASTE	17.984413	5.362107	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.000000	0.000000	0.000000
DHN_COGEN_GAS	0.000000	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	113.300576	103.470875	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	862.387425	578.238883	0.000000
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	331.317705	148.204219	0.000000
DEC_BOILER_WOOD	559.428455	291.817407	0.000000
DEC_BOILER_OIL	164.866890	147.418174	0.000000
DEC_SOLAR	636.083766	122.873789	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
BIG_SPLIT	838.828242	450.264176	0.000000
CHILLER_WC	22.154657	15.214612	0.000000
TRAMWAY_TROLLEY	591.276757	284.000136	0.000000
BUS_COACH_DIESEL	530.286017	353.786494	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	200.107931	133.504337	0.000000
BUS_COACH_FC_HYBRIDH2	17.054653	6.826926	0.000000
TRAIN_PUB	1186.662680	1281.203623	0.000000
BOAT_PASS_DIESEL	5.801462	8.677782	0.000000
BOAT_PASS_NG	2.900731	4.338891	0.000000
PLANES	695.270368	699.652527	0.000000
CAR_GASOLINE	16887.489995	5112.752863	0.000000
CAR_DIESEL	10947.345641	3417.121781	0.000000
MOTORCYCLE	11088.358807	13634.505172	0.000000
CAR_NG	1169.597715	447.615472	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	1847.000000	260.088712	0.000000
CAR_FUEL_CELL	47.144368	2.687830	0.000000
TRAIN_FREIGHT	32.808845	19.630087	0.000000
BOAT_FREIGHT_DIESEL	118.344145	177.018257	0.000000
BOAT_FREIGHT_NG	6.228639	9.316750	0.000000
TRUCK_DIESEL	6713.491913	4478.984345	0.000000
TRUCK_FUEL_CELL	38.095810	15.249638	0.000000
TRUCK_NG	281.193379	187.601439	0.000000
NON_ENERGY_OIL	0.000000	0.000000	0.000000
NON_ENERGY_NG	0.000000	0.000000	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
PHS	4640.201354	0.000000	0.000000
BATT_LI	0.000000	0.000000	0.000000
CAES	0.000000	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_HP_ELEC	38.426438	5.573266	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000	0.000000
TS_DHN_SEASONAL	92.203660	10.613467	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
TS_DEC_BOILER_GAS	34.957755	5.070178	0.000000
TS_DEC_BOILER_WOOD	25.459903	3.692635	0.000000
TS_DEC_BOILER_OIL	20.134503	2.920254	0.000000
SEASONAL_NG	0.000000	0.000000	0.000000
SEASONAL_H2	0.004539	0.000378	0.000000
CO2_STORAGE	0.000000	0.000000	0.000000
SLF_STO	0.000588	0.000631	0.000000
PT_STORAGE	21.632727	4.481392	0.000000
ST_STORAGE	1.002527	0.207622	0.000000
