Name	C_inv	C_maint	C_op
NUCLEAR	978.431592	818.456592	0.000000
CCGT	1098.017338	581.449611	0.000000
COAL_US	978.908113	312.816817	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	218.687401	56.326483	0.000000
PT_POWER_BLOCK	56.267876	69.923901	0.000000
ST_POWER_BLOCK	1.171162	1.990080	0.000000
STIRLING_DISH	0.421517	0.159090	0.000000
WIND_ONSHORE	1023.918050	68.332522	0.000000
WIND_OFFSHORE	0.000000	0.000000	0.000000
HYDRO_DAM	2465.995804	368.831950	0.000000
HYDRO_RIVER	212.578500	63.589107	0.000000
NEW_TIDAL_STREAM	0.000000	0.000000	0.000000
TIDAL_STREAM	0.000000	0.000000	0.000000
TIDAL_RANGE	0.000000	0.000000	0.000000
WAVE	0.003287	0.001242	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	230.706828	314.408640	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	38.723139	30.505554	0.000000
IND_BOILER_GAS	13.471163	4.023492	0.000000
IND_BOILER_WOOD	8.992207	2.681053	0.000000
IND_BOILER_OIL	2.880632	0.923673	0.000000
IND_BOILER_COAL	7.868181	2.345922	0.000000
IND_BOILER_WASTE	6.474389	1.930358	0.000000
IND_DIRECT_ELEC	17.164313	1.038951	0.000000
DHN_HP_ELEC	0.000000	0.000000	0.000000
DHN_COGEN_GAS	0.000000	0.000000	0.000000
DHN_COGEN_WOOD	26.747165	20.762111	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	5.941890	5.426385	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	0.000000	0.000000	0.000000
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	532.791795	238.327112	0.000000
DEC_BOILER_WOOD	672.278049	350.683694	0.000000
DEC_BOILER_OIL	318.135945	284.465971	0.000000
DEC_SOLAR	203.444184	39.299789	0.000000
DEC_DIRECT_ELEC	32.528249	1.931742	0.000000
BIG_SPLIT	838.828242	450.264176	0.000000
CHILLER_WC	22.154657	15.214612	0.000000
TRAMWAY_TROLLEY	82.986186	39.859656	0.000000
BUS_COACH_DIESEL	1070.088167	713.921787	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	25.866952	17.257438	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	733.014591	791.413571	0.000000
BOAT_PASS_DIESEL	3.349184	5.009684	0.000000
BOAT_PASS_NG	0.000000	0.000000	0.000000
PLANES	420.925024	423.578035	0.000000
CAR_GASOLINE	16393.102907	4963.075261	0.000000
CAR_DIESEL	22180.646862	6923.502190	0.000000
MOTORCYCLE	13887.840216	17076.812948	0.000000
CAR_NG	8.803424	3.369149	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	9.222687	1.298710	0.000000
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	16.076334	9.618742	0.000000
BOAT_FREIGHT_DIESEL	124.572785	186.335007	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
TRUCK_DIESEL	7485.371605	4993.952875	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000	0.000000
TRUCK_NG	37.614933	25.095241	0.000000
NON_ENERGY_OIL	0.000000	0.000000	0.000000
NON_ENERGY_NG	0.000000	0.000000	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
PHS	4640.201354	0.000000	0.000000
BATT_LI	0.000000	0.000000	0.000000
CAES	0.000000	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000	0.000000
SEASONAL_NG	0.000000	0.000000	0.000000
SEASONAL_H2	0.000000	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000	0.000000
SLF_STO	0.000000	0.000000	0.000000
PT_STORAGE	83.188459	17.233154	0.000000
ST_STORAGE	1.542453	0.319440	0.000000
TS_MOLTEN_SALT	0.000000	0.000000	0.000000
TS_COLD	510.556615	105.186745	0.000000
EFFICIENCY	3320.000000	0.000000	0.000000
DHN	12.748781	0.000000	0.000000
GRID	5030.400890	0.000000	0.000000
PT_COLLECTOR	3307.579712	953.115967	0.000000
ST_COLLECTOR	118.080726	27.938083	0.000000
H2_ELECTROLYSIS	0.000000	0.000000	0.000000
H2_NG	0.000000	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000000
PYROLYSIS	0.000000	0.000000	0.000000
ATM_CCS	0.000000	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000	0.000000
BIOMETHANATION	41.642949	6.026092	0.000000
SLF_TO_DIESEL	0.000000	0.000000	0.000000
SLF_TO_GASOLINE	0.000000	0.000000	0.000000
SLF_TO_LFO	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	0.000000
GASOLINE	0.000000	0.000000	7339.354831
DIESEL	0.000000	0.000000	16441.355107
BIOETHANOL	0.000000	0.000000	183.920082
BIODIESEL	0.000000	0.000000	730.807160
LFO	0.000000	0.000000	4707.844442
NG	0.000000	0.000000	10450.783662
SLF	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	1215.828107
WET_BIOMASS	0.000000	0.000000	22.557370
COAL	0.000000	0.000000	2225.494995
URANIUM	0.000000	0.000000	619.575185
WASTE	0.000000	0.000000	90.306165
H2	0.000000	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
PT_HEAT	0.000000	0.000000	0.000000
ST_HEAT	0.000000	0.000000	0.000000
KEROSENE	0.000000	0.000000	644.398959
