Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	89106.559875	100000000.000000
DIESEL	206177.252416	100000000.000000
BIOETHANOL	2232.960000	10000.000000
BIODIESEL	9164.440000	10000.000000
LFO	82971.841525	100000000.000000
NG	252104.837016	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	69523.644654	81898.460000
WET_BIOMASS	3431.498931	158702.980000
COAL	126145.021325	100000000.000000
URANIUM	159830.315256	100000000.000000
WASTE	12591.050922	38204.550000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	100000000.000000
CO2_EMISSIONS	84451.571713	100000000.000000
RES_WIND	51971.278250	100000000.000000
RES_SOLAR	43590.763268	100000000.000000
RES_HYDRO	30302.744522	100000000.000000
RES_GEO	220.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
KEROSENE	13117.768373	100000000.000000
