Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	56134.558524	100000000.000000
DIESEL	137298.373986	100000000.000000
BIOETHANOL	0.000000	10000.000000
BIODIESEL	0.000000	10000.000000
LFO	39770.266009	100000000.000000
NG	181323.142953	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	81898.460000	81898.460000
WET_BIOMASS	11134.903645	158702.980000
COAL	10070.982704	100000000.000000
URANIUM	63940.099411	100000000.000000
WASTE	38204.550000	38204.550000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	100000000.000000
CO2_EMISSIONS	40909.296894	100000000.000000
RES_WIND	110633.489299	100000000.000000
RES_SOLAR	197548.231349	100000000.000000
RES_HYDRO	28059.578843	100000000.000000
RES_GEO	7475.334068	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
KEROSENE	27084.382976	100000000.000000
